name,unique_gene_counts,unique_pseudogene_counts,multi_map_gene_counts,multi_map_pseudogene_counts,gene_unique.vs.multi,pseudogene_unique.vs.multi,unique_gene_vs_pseudo,multi_gene_vs_pseudo,multi_gene_in_pseudo.vs.gene_ratio,multi_pseudo_in_gene.vs.pseudo_ratio
NM3327_PD332_A2B1_GM-T_S1_trimmed_Aligned.sortedBysamtools.out,852,612,1426,1387,0.597475455820477,0.441240086517664,1.3921568627451,1.0281182408075,0.973352033660589,0.994232155731795
NM3328_PD341_A2B2_GM-T_S2_trimmed_Aligned.sortedBysamtools.out,2718,1101,2786,2640,0.975592246949031,0.417045454545455,2.46866485013624,1.05530303030303,0.94759511844939,0.993939393939394
NM3329_PD732_A2B2_GM-T_S3_trimmed_Aligned.sortedBysamtools.out,4308,2373,3687,3448,1.16842961757526,0.68822505800464,1.81542351453856,1.06931554524362,0.923515052888527,0.980858468677494
NM3330_PDC05_A1A2_GM-T_S4_trimmed_Aligned.sortedBysamtools.out,4619,2725,4382,4171,1.05408489274304,0.653320546631503,1.69504587155963,1.05058738911532,0.940209949794614,0.985854711100456
NM3331_PD566_A1B4_GM-T_S5_trimmed_Aligned.sortedBysamtools.out,308,1078,2201,2214,0.139936392548841,0.486901535682023,0.285714285714286,0.994128274616079,0.999091322126306,0.991869918699187
NM3332_PD366_A2B3_GM-T_S6_trimmed_Aligned.sortedBysamtools.out,540,826,2578,2581,0.209464701318852,0.320030995738086,0.653753026634383,0.998837659821775,0.996896819239721,0.994188299108873
NM3333_PD413_A2B1_GM-T_S7_trimmed_Aligned.sortedBysamtools.out,5172,3199,5138,4866,1.00661736084079,0.657418824496506,1.61675523601125,1.05589806822852,0.940054495912807,0.991368680641184
NM3334_PDC22_A1E3_GM-T_S8_trimmed_Aligned.sortedBysamtools.out,2594,1824,3663,3593,0.708162708162708,0.50765377122182,1.42214912280702,1.01948232674645,0.972153972153972,0.989702198719733
NM3335_PD706_A1A1_GM-T_S9_trimmed_Aligned.sortedBysamtools.out,1716,909,2254,2125,0.76131322094055,0.427764705882353,1.88778877887789,1.06070588235294,0.9547471162378,0.998117647058824
NM3336_PD415_A2B2_GM-T_S10_trimmed_Aligned.sortedBysamtools.out,1892,953,2045,1935,0.92518337408313,0.49250645994832,1.98530954879328,1.05684754521964,0.948166259168704,0.994315245478036
NM3337_PD416_A2D3_GM-T_S11_trimmed_Aligned.sortedBysamtools.out,2329,1445,2861,2716,0.814051031108004,0.532032400589102,1.61176470588235,1.05338733431517,0.946871723173715,0.996318114874816
NM3338_PDC34_A1B3_GM-T_S12_trimmed_Aligned.sortedBysamtools.out,2812,2563,3753,3647,0.749267252864375,0.702769399506444,1.09715177526336,1.02906498491911,0.970690114575007,0.993693446668495
NM3339_PD563_A1C1_GM-T_S13_trimmed_Aligned.sortedBysamtools.out,3715,2990,4438,4248,0.837088778729157,0.703860640301318,1.24247491638796,1.04472693032015,0.954934655250113,0.993173258003766
NM3340_PD523_A2B3_GM-T_S14_trimmed_Aligned.sortedBysamtools.out,1962,1341,2707,2661,0.724787587735501,0.503945885005637,1.46308724832215,1.01728673431041,0.976357591429627,0.990229237128899
NM3341_PDC87_A1A4_GM-T_S15_trimmed_Aligned.sortedBysamtools.out,3204,668,3202,3061,1.00062460961899,0.218229336818033,4.79640718562874,1.04606337798105,0.951280449718926,0.993466187520418
NM3342_PD163_A1B1_GM-T_S16_trimmed_Aligned.sortedBysamtools.out,1110,1197,2364,2302,0.469543147208122,0.519982623805387,0.927318295739348,1.02693310165074,0.972927241962775,0.997393570807993
NM3343_PD678_A1B5_GM-T_S17_trimmed_Aligned.sortedBysamtools.out,1576,1066,1906,1828,0.826862539349423,0.583150984682713,1.47842401500938,1.04266958424508,0.953830010493179,0.993435448577681
NM3344_PD747_A2A9_GM-T_S18_trimmed_Aligned.sortedBysamtools.out,3929,2459,3736,3477,1.05165952890792,0.707218866839229,1.5978039853599,1.07448950244464,0.920770877944325,0.98274374460742
NM3345_PD115_A1B1_GM-T_S19_trimmed_Aligned.sortedBysamtools.out,659,439,1172,1144,0.562286689419795,0.383741258741259,1.50113895216401,1.02447552447552,0.965870307167236,0.988636363636364
NM3346_PD666_A1A4_GM-T_S20_trimmed_Aligned.sortedBysamtools.out,2610,1679,2555,2485,1.02152641878669,0.675653923541248,1.55449672424062,1.02816901408451,0.967123287671233,0.989939637826962
NM3347_PDC91_A1B4_GM-T_S21_trimmed_Aligned.sortedBysamtools.out,2610,1864,3198,3011,0.816135084427767,0.619063434075058,1.40021459227468,1.06210561275324,0.940587867417136,0.994021919628031
NM3348_PD294_P1B1_GM-T_S22_trimmed_Aligned.sortedBysamtools.out,676,2582,2903,2903,0.232862555976576,0.889424733034792,0.261812548412084,1,0.988976920427144,0.987254564243886
NM3349_PD531_A1B3_GM-T_S23_trimmed_Aligned.sortedBysamtools.out,2145,1559,2633,2547,0.81466008355488,0.612092658029054,1.3758819756254,1.03376521397723,0.958982149639195,0.991362387122104
NM3350_PD683_A1B5_GM-T_S24_trimmed_Aligned.sortedBysamtools.out,2374,1978,2760,2743,0.860144927536232,0.721108275610645,1.20020222446916,1.00619759387532,0.964130434782609,0.971563981042654
